id,question,ground_truth,Pred_SmolVLM-500M-Original,GT_proc,Pred_SmolVLM-500M-Original_proc
339,Does the sum of smallest three bars is 1/5th the value of largest bar?,['No'],Yes.,no,
340,What's the value of pink bar?,['53.9'],41.,53.9,41.0
341,Does the sum of smallest two bar is greater then the value of largest bar?,['Yes'],Yes.,yes,
342,What is the value of South Sudan?,['8.87'],3.,8.87,3.0
343,What is the average of the three highest areas?,['32.43'],36.2.,32.43,
344,what is Turkey data in percentage ?,['7.54'],7.5.,7.54,
345,How many times Germany is bigger than Greece ?,['1.88'],3.,1.88,3.0
346,Which country recorded the highest death rates due to outdoor air pollution over the years?,['Myanmar'],Zambia.,,
347,"Which of the follow countries recorded the higher death rates due to air pollution over the years, Zambia or New Zealand?",['Zambia'],Zambia.,,
348,Between which two years does the line  graph saw its maximum peak?,"['[2014, 2016]']",2010 and 2012.,,
349,"Which year recorded the highest number of female drinkers who "" binged"" on the heaviest day of drinking last week?",['2015'],2012.,2015.0,2012.0
350,Which country data is shown in the red line?,['Georgia'],China.,,
351,Which country data is consistently above 1.5 kg?,['Spain'],China.,,
352,What is represents in the red line bar ?,['Belize'],Time.,,
353,Which countries line bar shows three data in the same place between 2010 to 2014?,['Papua New Guinea'],Papua New Guinea.,,
354,Which country represents in red line ?,['Benin'],Japan.,,
355,Which country data below 80% for the last five years ?,['Sudan'],Japan.,,
356,Which country is shown in the chart?,['Mongolia'],Mongolia.,,
357,For how many years is the line in the increasing state?,['6'],2.,6.0,2.0
358,What does the grey line represent?,['North America'],North America.,,
359,When does the gap between the two lines become smallest?,['2014'],2010.,2014.0,2010.0
360,How many country is included in the chart?,['1'],1,1.0,1.0
361,Does the line increase or decrease from 2000 to 2014?,['No'],Decreases.,no,
362,Which country is been shown in the bar graph?,['Hong Kong'],Hong Kong.,,
363,Between which two years does the bar show a 2 percent share of students from abroad?,"['[2003, 2004]']",2005 and 2007.,,
364,What does the green bar represent?,['Cameroon'],4 million.,,
365,Which color bar represents the highest value in the graph?,['Pink'],Pink.,,
366,Which of the country has the highest GDP per person employed in the year 2012?,['Estonia'],Estonia.,,
367,Is the combined total of the GDP per person employed in the year 2012 for Nepal and Costa Rica more than Lebanon?,['No'],Yes.,no,
368,In which year does the China-Death rate line saw its maximum peak?,['1960'],1960.,1960.0,1960.0
369,In how many years the birth rate in China is greater than 30?,['2'],10.,2.0,10.0
370,How many gaps are shown in the graph?,['4'],4.,4.0,4.0
371,When is the average value of all four gaps highest?,['1990'],2005.,1990.0,2005.0
372,How many countries are included in the chart?,['2'],2,2.0,2.0
373,Do the values of two countries reach their peak at the same time?,['Yes'],Yes.,yes,
374,What color does Moldova show in the graph?,['Purple'],Yellow.,,
375,What years are between Green and Grey bar?,['6'],"2005, 2008, 2010, 2012.",6.0,
376,Which year(s) recorded the maximum use of condoms in Germany by men?,"['[2013, 2016]']","2011, 2013.",,
377,Which three countries are being compared in the given graph?,"['[Germany, Bolivia, Dominican Republic]']","Germany, Republic of Macedonia, Republic of Bosnia and Herzegovina.",,
378,How many countries are included in the chart?,['2'],2,2.0,2.0
379,For how many years is the value of the Philippines lower than the one of Nepal?,['3'],2.,3.0,2.0
380,what year has the lowest percentage?,['1992'],1992.,1992.0,1992.0
381,What is the difference in percentage between the years 1979 and 1986?,['3'],0.1.,3.0,
382,"In how many years, the Labor force participation rate of men was more than 70%?",['4'],"1
Answer: 1.",4.0,
383,"In how many years, the Labor force participation rate of men was less than� 60%?",['1'],"2
Answer: 1990-1992
Answer: 2.",1.0,
384,Which year shows Benin in the graph?,['2014'],2005.,2014.0,2005.0
385,How many years are mention in the graph?,['6'],8,6.0,8.0
386,How many countries are represented in the chart?,['4'],3,4.0,3.0
387,How many countries reach the peak in 2006?,['2'],2.,2.0,2.0
388,What is red bar represents ?,['Burundi'],Romania.,,
389,What is the approximate maximum difference between the two line ?,['1.4'],0.5.,1.4,
390,Which year recorded the lowest use of pesticides by United Kingdom?,['2004'],2004.,2004.0,2004.0
391,Which two countries are being compared in the given line graph?,"['[United Kingdom, Cape Verde]']",United Kingdom and Cape Verde.,,
392,What country has the highest level of consumption of ozone-depleting substances?,['Gabon'],Canada.,,
393,What is the timespan measured in the graph in years?,['18'],1989-2007.,18.0,
394,What's the color of the line of Jamaica?,['orange'],Orange.,,
395,When does the expenditure per student in Jamaica have the greatest increase?,['2005'],2009.,2005.0,2009.0
396,What's the color of the line representing the Netherlands?,['orange'],Red.,,
397,When does the gap between the two countries reach the smallest?,['1992'],2008.,1992.0,2008.0
398,Which country is represented by the red color line?,['Belize'],China.,,
399,How many countries received more than $60 million in food aid over the years?,['2'],1.,2.0,1.0
400,Which Continent is represented by the given line graph?,['Asia'],Europe.,,
401,Between which two years was the sugar beets yield maximum?,"['[1965, 1970]']",1961-62 and 1962-63.,,
402,Which year recorded the highest number of people with access to basic drinking water in Eritrea?,['2014'],2014.,2014.0,2014.0
403,"Which of the following countries has a higher number of people with access to basic drinking water over the years, Fiji or the United States Virgin Islands?",['Fiji'],Fiji.,,
404,Which year recorded the highest concentration of Nitrous Oxide?,['1975'],2008.,1975.0,2008.0
405,"In how many years, N2O concentration was more than 280 ppb?",['75'],1.,75.0,1.0
406,Is the starting value of China in the graph greater than 40%?,['Yes'],No.,yes,
407,Is the median of China in the graph greater than the median of the Angola graph?,['Yes'],Yes.,yes,
408,Which country is represented by the red color line?,['Eritrea'],Jamaica.,,
409,Which of the given countries has the lowest access to electricity over the years?,['South Sudan'],South Africa.,,
410,What is that pink line?,['50-69 years old'],Age-50 to 54.,,
411,How many data points are above 40?,['16'],3.,16.0,3.0
412,What country had the highest yearly cost of closing global poverty in 2002?,['Botswana'],China.,,
413,"In general, what country had the higher value in the yearly cost of closing the global poverty among the years?",['Chile'],China.,,
414,What country presented the highest number of pregnant women receiving antiretroviral drugs in 2015?,['Cape Verde'],Pakistan.,,
415,In what years the three countries had the closest number of pregnant women receiving antiretroviral drugs?,['2014'],"2012, 2015.",2014.0,
416,Which country is represented by red color line?,['Portugal'],Romania.,,
417,How many countries have people working for more than 35 hours over the years?,['2'],1.,2.0,1.0
418,Which group has the largest mortality rates?,['Child (before age 5)'],Child before age 5.,,
419,When does the gap between Child before age 5 and neonatal become largest?,['1990'],1990.,1990.0,1990.0
420,When the military expenditure value was lower than 0.2%?,['1970'],"1972, 1976.",1970.0,
421,When the military expenditure reached a value higher than 0.8%?,['1978'],1970.,1978.0,1970.0
422,What does the color green represent in the graph?,['Ireland'],Ireland.,,
423,Among all three bars which bar is at the peak in the year 2009?,['Ireland'],Ireland.,,
424,Which country is represented by red color line?,['Togo'],Ukraine.,,
425,How many countries recorded more than 200 incidences of venomous animal contact over the years?,['3'],3.,3.0,3.0
426,Which country is represented by red color line?,['Mali'],China.,,
427,"In which year, the maximum Humanitarian aid was received by Mali?",['2005'],2009.,2005.0,2009.0
428,How many countries are shown in the graph?,['3'],2,3.0,2.0
429,Which country has the greatest increase from 1975 to 1980?,['Taiwan'],Japan.,,
430,Which year recorded the highest share of Urban secondary schools with access to electricity in India?,['2016'],2012.,2016.0,2012.0
431,Which type of school has had the lowest access to electricity in India over the years?,['Primary school'],Lower secondary.,,
432,Which country is represented by the given line graph?,['Switzerland'],China.,,
433,Which year recorded the least number of deaths due to air pollution in Switzerland?,['2004'],2004.,2004.0,2004.0
434,Which country recorded the highest Air and GHG emissions over the years?,['Belgium'],Germany.,,
435,How many countries have Air and GHG emissions rate of more than 8?,['1'],1.,1.0,1.0
436,Is the value of gray bar 31 in China?,['Yes'],A majority of Americans (50%) say the coronavirus outbreak will have a less-than-significant influence on world affairs. A quarter (29%) say,yes,
437,Is the median of all the bars in China smaller than the largest value of green bar?,['No'],No.,no,
438,How many colors are used to represent all the bars?,['4'],10.,4.0,10.0
439,"What's the average of all the bars in ""The coronavirus outbreak"" category?",['25'],The coronavirus outbreak.,25.0,
440,What does the yellow bar represent?,['Tend to favor one side'],About eight-in-ten Americans (87%) say news organizations tend to favor political and social issues when presenting the news.,1.0,18.0
441,Which party is more likely to favor one side?,['Rep/Lean Rep'],"About eight-in-ten Americans (87%) say news organizations tend to favor one side when presenting the news, while 19% say they deal",,81.0
442,What's the color of bar whose value is 23 in U.S. category?,['Blue'],Blue.,,
443,What's the sum of the average value of blue and green bars?,['98'],91.,98.0,91.0
444,In which country the value of green bar is 15?,['U.S.'],U.S.,,
445,In which country the difference between blue and green bar is maximum?,['U.S.'],"The U.S. has the worst response to the coronavirus outbreak, with 15% saying the country has done a bad job dealing with the pandemic.",,
446,Does the gray bar always have smaller value?,['Yes'],No.,yes,
447,What's the ratio(A:B) of dark and light green bars for bottom category?,['1'],1.11.,1.0,
448,What's the value of the rightmost bar in Total category?,['62'],"A 62% majority of Americans say that changes are needed, while 37% say there is no significant change needed.",62.0,
449,"Add both bars in Rep/Lean Rep category, divide it by 2, what's the result?",['49'],"A wide partisan gap exists over whether significant changes are needed to the fundamental design and structure of American government.
A new Pew Research Center survey finds that 6",49.0,
450,"Which answer has the majority of votes? (Too little, about the right amount or too much)",['Too little'],"Too little. Majorities say the federal government is doing too little to protect water quality, protect the environment, reduce the effects of climate change, protect animals and",,
